titulo,ubicacion,precio,caracteristicas,area_m2,habitaciones,banos,parqueaderos,url,codigo,pagina,numero_en_pagina
"Apartamento en Arriendo, BELEN, Medellín",BELEN | Suroccidente | Medellín,$3.600.000,"135 m²
3 hab.
3 bañ.
1 par.",135,3,3,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-las-acacias-3-habitaciones-3-banos-1-garajes/18536-M6007783,18536-M6007783,2,50
"Casa en Arriendo, Simon Bolivar, Medellín",Simon Bolivar | Medellín,$5.500.000,"110 m²
5 hab.
2 bañ.",110,5,2,,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-simon-bolivar-5-habitaciones-2-banos/18936-M6067470,18936-M6067470,2,51
"Casa en Arriendo, Las Palmas, Medellín",Las Palmas | Medellín,$40.000.000,"680 m²
3 hab.
5 bañ.
4 par.",680,3,5,4,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-las-palmas-3-habitaciones-5-banos-4-garajes/2671-M5965857,2671-M5965857,2,52
"Apartamento en Arriendo, El Tesoro, Medellín",El Tesoro | Medellín,$30.000.000,"458 m²
5 hab.
5 bañ.
3 par.",458,5,5,3,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-tesoro-5-habitaciones-5-banos-3-garajes/2671-M6014232,2671-M6014232,2,53
"Casa en Arriendo, Los Balsos, Medellín",Los Balsos | Medellín,$58.700.000,"844,29 m²
5 hab.
5 bañ.
2 par.",29,5,5,2,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-los-balsos-5-habitaciones-5-banos-2-garajes/2671-M5812213,2671-M5812213,2,54
"Casa en Arriendo, El Retiro, Medellín",El Retiro | Medellín,$16.000.000,"361 m²
4 hab.
5 bañ.
2 par.",361,4,5,2,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-na-4-habitaciones-5-banos-2-garajes/2671-M5812021,2671-M5812021,2,55
"Apartamento en Arriendo, Poblado Los Balsos, Medellín",Poblado Los Balsos | Medellín,$16.000.000,"250 m²
3 hab.
5 bañ.
2 par.",250,3,5,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-poblado-los-balsos-3-habitaciones-5-banos-2-garajes/17556-M6059448,17556-M6059448,2,56
"Apartamento en Arriendo, San Lucas, Medellín",San Lucas | Suroriente | Medellín,$4.500.000,"128 m²
3 hab.
3 bañ.
2 par.",128,3,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-san-lucas-3-habitaciones-3-banos-2-garajes/11224-M5941951,11224-M5941951,2,57
"Apartamento en Arriendo, El Poblado, Medellín",El Poblado | Medellín,$8.000.000,"280 m²
4 hab.
3 bañ.
2 par.",280,4,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-poblado-4-habitaciones-3-banos-2-garajes/2398-M5863286,2398-M5863286,2,58
"Apartamento en Arriendo, Altos Del Poblado, Medellín",Altos Del Poblado | Medellín,$9.500.000,"108 m²
3 hab.
3 bañ.
2 par.",108,3,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-altos-del-poblado-3-habitaciones-3-banos-2-garajes/16120-M6064040,16120-M6064040,2,59
"Apartamento en Arriendo, Poblado, Medellín",Poblado | Medellín,$3.500.000,"74 m²
3 hab.
2 bañ.
1 par.",74,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-poblado-3-habitaciones-2-banos-1-garajes/16120-M6013166,16120-M6013166,2,60
"Casa en Arriendo, Alejandria, Medellín",Alejandria | Medellín,$7.500.000,"220 m²
3 hab.
4 bañ.
2 par.",220,3,4,2,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-alejandria-3-habitaciones-4-banos-2-garajes/16120-M6011688,16120-M6011688,2,61
"Casa en Arriendo, El Poblado, Medellín",El Poblado | Medellín,$8.500.000,"230 m²
3 hab.
4 bañ.
2 par.",230,3,4,2,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-el-poblado-3-habitaciones-4-banos-2-garajes/14059-M5740316,14059-M5740316,2,62
"Casa en Arriendo, Belen, Medellín",Belen | Medellín,$5.700.000,"160 m²
4 hab.
4 bañ.
1 par.",160,4,4,1,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-belen-4-habitaciones-4-banos-1-garajes/16120-M5946451,16120-M5946451,2,63
"Apartaestudio en Arriendo, LAURELES EL NOGAL Suroccidente, Medellín",LAURELES EL NOGAL Suroccidente | Noroccidente | Medellín,$4.200.000,"37 m²
1 hab.
1 bañ.",37,1,1,,https://www.metrocuadrado.com/inmueble/arriendo-apartaestudio-medellin-laureles-1-habitaciones-1-banos/MC6057847,MC6057847,2,64
"Apartamento en Arriendo, BELEN DE LA MOTA Nororiente, Medellín",BELEN DE LA MOTA Nororiente | Suroccidente | Medellín,$4.600.000,"69 m²
3 hab.
2 bañ.
1 par.",69,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-rincon-3-habitaciones-2-banos-1-garajes/MC5981708,MC5981708,2,65
"Apartamento en Arriendo, BELEN LOMA DE LOS BERNAL Nororiente, Medellín",BELEN LOMA DE LOS BERNAL Nororiente | Suroccidente | Medellín,$2.400.000,"55 m²
2 hab.
1 bañ.
1 par.",55,2,1,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-loma-de-los-bernal-2-habitaciones-1-banos-1-garajes/MC6004059,MC6004059,2,66
"Apartamento en Arriendo, NUEVA VILLA DE ABURRA Suroccidente, Medellín",NUEVA VILLA DE ABURRA Suroccidente | Suroccidente | Medellín,$1.900.000,"55 m²
2 hab.
1 bañ.",55,2,1,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-nueva-villa-de-aburra-2-habitaciones-1-banos/MC4655552,MC4655552,2,67
"Oficina en Arriendo, Laureles, Medellín",Laureles | Suroccidente | Medellín,$2.800.000,"33 m²
1 bañ.
1 par.",33,,1,1,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-las-acacias-1-banos-1-garajes/2511-M4157113,2511-M4157113,3,1
"Apartamento en Arriendo, El Poblado, Medellín",El Poblado | Nororiente | Medellín,$9.500.000,"83 m²
3 hab.
5 bañ.",83,3,5,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-asomadera-no.2-3-habitaciones-5-banos/2895-M5364841,2895-M5364841,3,2
"Apartamento en Arriendo, Belen, Medellín",Belen | Suroccidente | Medellín,$2.400.000,"85 m²
3 hab.
2 bañ.",85,3,2,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-urbanizacion-san-bernardo-3-habitaciones-2-banos/2511-M5053633,2511-M5053633,3,3
"Casa en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$60.000.000,"890 m²
5 hab.
5 bañ.
4 par.",890,5,5,4,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-san-lucas-5-habitaciones-5-banos-4-garajes/687-M5783634,687-M5783634,3,4
"Apartamento en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$8.200.000,"250 m²
4 hab.
4 bañ.
2 par.",250,4,4,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-san-lucas-4-habitaciones-4-banos-2-garajes/687-M5146639,687-M5146639,3,5
"Apartamento en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$8.500.000,"261 m²
4 hab.
3 bañ.
2 par.",261,4,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-san-lucas-4-habitaciones-3-banos-2-garajes/687-M5623953,687-M5623953,3,6
"Apartamento en Arriendo, Palmas, Medellín",Palmas | Nororiente | Medellín,$7.000.000,"74 m²
2 hab.
2 bañ.
1 par.",74,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-asomadera-no.2-2-habitaciones-2-banos-1-garajes/20543-M5989363,20543-M5989363,3,7
"Apartamento en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$4.150.000,"90 m²
3 hab.
2 bañ.
2 par.",90,3,2,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-simesa-3-habitaciones-2-banos-2-garajes/687-M5394064,687-M5394064,3,8
"Apartamento en Arriendo, LAURELES, Medellín",LAURELES | Noroccidente | Medellín,$3.200.000,"85 m²
3 hab.
2 bañ.
1 par.",85,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-las-acacias-3-habitaciones-2-banos-1-garajes/12116-M6015852,12116-M6015852,3,9
"Casa en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$15.500.000,"180 m²
3 hab.
4 bañ.
2 par.",180,3,4,2,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-los-balsos-no.1-3-habitaciones-4-banos-2-garajes/687-M4871527,687-M4871527,3,10
"Casa en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$13.800.000,"330 m²
4 hab.
5 bañ.
2 par.",330,4,5,2,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-el-tesoro-4-habitaciones-5-banos-2-garajes/687-M5962839,687-M5962839,3,11
"Casa en Venta y Arriendo, poblado, Medellín",poblado | Suroriente | Medellín,$940.000.000,"267 m²
3 hab.
4 bañ.
2 par.",267,3,4,2,https://www.metrocuadrado.com/inmueble/venta-casa-medellin-alejandria-3-habitaciones-4-banos-2-garajes/687-M2200040,687-M2200040,3,12
"Apartamento en Arriendo, EL POBLADO, Medellín",EL POBLADO | Otros | Medellín,$4.450.000,"89 m²
3 hab.
3 bañ.
2 par.",89,3,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-tesoro-3-habitaciones-3-banos-2-garajes/687-M6013351,687-M6013351,3,13
"Casa lote en Arriendo, Los Naranjos, Medellín",Los Naranjos | Medellín,$13.800.000,350 m²,350,,,,https://www.metrocuadrado.com/inmueble/arriendo-casa-lote-medellin-los-naranjos/17287-M6012147,17287-M6012147,3,14
"Apartamento en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$23.300.000,"290 m²
2 hab.
4 bañ.
3 par.",290,2,4,3,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-poblado-2-habitaciones-4-banos-3-garajes/687-M6013219,687-M6013219,3,15
"Bodega en Arriendo, La Aguacatala, Medellín",La Aguacatala | Suroccidente | Medellín,$47.620.000,"1.160 m²
5 bañ.",160,,5,,https://www.metrocuadrado.com/inmueble/arriendo-bodega-medellin-guayabal-5-banos/20662-M6033268,20662-M6033268,3,16
"Casa en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$12.800.000,"180 m²
3 hab.
4 bañ.
2 par.",180,3,4,2,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-los-balsos-no.1-3-habitaciones-4-banos-2-garajes/687-M4871568,687-M4871568,3,17
