,titulo,ubicacion,precio,area_m2,habitaciones,banos,parqueaderos,url
8879,"Oficina en Arriendo, EL POBLADO, Medellín",el pobladoe | medellín,2.700.000,35.0,0,1,1,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-altos-del-poblado-1-banos-1-garajes/687-M3555542
8880,"Local Comercial en Arriendo, EL POBLADO, Medellín",el pobladoe | medellín,5.850.000,30.0,0,0,0,https://www.metrocuadrado.com/inmueble/arriendo-local-comercial-medellin-castropol/687-M5102683
8881,"Apartamento en Arriendo, SIMON BOLIVAR, Medellín",simon bolivare | medellín,1.800.000,52.0,2,1,0,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-simon-bolivar-2-habitaciones-1-banos/20035-M6054103
8882,"Apartamento en Arriendo, EL POBLADO, Medellín",el pobladoe | medellín,8.800.000,186.0,3,3,3,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-alejandria-3-habitaciones-3-banos-3-garajes/687-M5259028
8883,"Bodega en Arriendo, GUAYABAL, Medellín",guayabal | medellín,8.000.000,100.0,0,0,0,https://www.metrocuadrado.com/inmueble/arriendo-bodega-medellin-trinidad/687-M5946373
8884,"Oficina en Arriendo, EL POBLADO, Medellín",el pobladoe | medellín,3.150.000,36.0,0,1,1,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-villa-carlota-1-banos-1-garajes/687-M4994104
8885,"Local Comercial en Arriendo, EL POBLADO, Medellín",el pobladoe | medellín,15.500.000,280.0,0,0,0,https://www.metrocuadrado.com/inmueble/arriendo-local-comercial-medellin-patio-bonito/687-M5179595
8886,"Local Comercial en Arriendo, BELEN, Medellín",belene | medellín,6.500.000,120.0,0,0,0,https://www.metrocuadrado.com/inmueble/arriendo-local-comercial-medellin-la-palma/687-M4801743
8887,"Casa en Arriendo, EL POBLADO, Medellín",el pobladoe | medellín,9.700.000,270.0,4,3,2,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-la-florida-4-habitaciones-3-banos-2-garajes/687-M4970703
8888,"Oficina en Arriendo, LA AMERICA, Medellín",la americae | medellín,1.100.000,20.0,0,1,0,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-cristobal-1-banos/12116-M5285758
8889,"Oficina en Arriendo, EL POBLADO, Medellín",el pobladoe | medellín,1.900.000,21.0,0,1,0,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-manila-1-banos/687-M2821384
8890,"Oficina en Arriendo, EL POBLADO, Medellín",el poblado | medellín,3.700.000,35.0,0,1,1,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-los-balsos-no2-1-banos-1-garajes/687-M5847237
8891,"Local Comercial en Arriendo, EL POBLADO, Medellín",el pobladoe | medellín,12.700.000,85.0,0,0,0,https://www.metrocuadrado.com/inmueble/arriendo-local-comercial-medellin-manila/687-M5767172
8892,"Apartamento en Arriendo, EL POBLADO, Medellín",el pobladoe | medellín,3.000.000,64.0,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-patio-bonito-2-habitaciones-2-banos-1-garajes/687-M4918989
8893,"Apartamento en Arriendo, EL POBLADO, Medellín",el pobladoe | medellín,5.100.000,165.0,4,2,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.1-4-habitaciones-2-banos-2-garajes/687-M5471319
8894,"Local Comercial en Arriendo, BELEN, Medellín",belene | medellín,2.200.000,40.0,0,0,0,https://www.metrocuadrado.com/inmueble/arriendo-local-comercial-medellin-rosales/12116-M4854271
8895,"Oficina en Arriendo, BELEN, Medellín",belene | medellín,2.950.000,80.0,0,2,0,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-rosales-2-banos/12116-M4836580
8896,"Apartamento en Arriendo, EL POBLADO, Medellín",el pobladoe | medellín,6.200.000,168.0,3,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-poblado-3-habitaciones-3-banos-2-garajes/687-M4839796
8897,"Apartamento en Arriendo, EL POBLADO, Medellín",el poblado | medellín,3.100.000,100.0,2,1,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-poblado-2-habitaciones-1-banos-1-garajes/687-M5026954
8898,"Local Comercial en Arriendo, BELEN, Medellín",belene | medellín,6.500.000,120.0,0,0,0,https://www.metrocuadrado.com/inmueble/arriendo-local-comercial-medellin-la-palma/687-M4801761
8899,"Apartamento en Arriendo, EL POBLADO, Medellín",el pobladoe | medellín,2.650.000,55.0,1,1,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-altos-del-poblado-1-habitaciones-1-banos-1-garajes/687-M5523500
8900,"Bodega en Arriendo, LA CANDELARIA, Medellín",la candelariae | medellín,8.000.000,200.0,0,0,0,https://www.metrocuadrado.com/inmueble/arriendo-bodega-medellin-san-diego/687-M5267617
8901,"Oficina en Arriendo, EL POBLADO, Medellín",el pobladoe | medellín,2.800.000,37.0,0,1,1,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-altos-del-poblado-1-banos-1-garajes/687-M3555292
8902,"Apartamento en Arriendo, EL POBLADO, Medellín",el pobladoe | medellín,3.650.000,81.0,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.1-3-habitaciones-2-banos-1-garajes/687-M4709418
8903,"Apartamento en Arriendo, Laureles, Medellín",laureles | medellín,2.300.000,58.0,2,1,0,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-laureles-2-habitaciones-1-banos/20769-M5990300
8904,"Apartamento en Arriendo, EL POBLADO, Medellín",el pobladoe | medellín,3.800.000,105.0,3,3,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-alejandria-3-habitaciones-3-banos-1-garajes/687-M2751021
8905,"Oficina en Arriendo, EL POBLADO, Medellín",el pobladoe | medellín,3.000.000,43.0,0,1,1,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-altos-del-poblado-1-banos-1-garajes/687-M3555275
8906,"Oficina en Arriendo, EL POBLADO, Medellín",el pobladoe | medellín,4.200.000,50.0,0,1,1,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-la-florida-1-banos-1-garajes/687-M5485556
8907,"Apartamento en Arriendo, EL POBLADO, Medellín",el pobladoe | medellín,3.300.000,60.0,1,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-linde-1-habitaciones-2-banos-1-garajes/687-M5258783
8908,"Oficina en Arriendo, EL POBLADO, Medellín",el poblado | medellín,3.200.000,30.0,0,1,1,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-el-poblado-1-banos-1-garajes/687-M5861109
8909,"Oficina en Arriendo, EL POBLADO, Medellín",el pobladoe | medellín,5.900.000,64.0,0,1,2,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-altos-del-poblado-1-banos-2-garajes/687-M5325253
8910,"Apartamento en Arriendo, EL POBLADO, Medellín",el pobladoe | medellín,2.650.000,40.0,1,1,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-simesa-1-habitaciones-1-banos-1-garajes/687-M5338479
8911,"Oficina en Arriendo, EL POBLADO, Medellín",el pobladoe | medellín,2.800.000,37.0,0,1,1,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-altos-del-poblado-1-banos-1-garajes/687-M3555531
8912,"Apartamento en Arriendo, EL POBLADO, Medellín",el poblado | medellín,3.800.000,80.0,2,1,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-manila-2-habitaciones-1-banos-1-garajes/687-M5970906
8913,"Apartamento en Arriendo, BELEN, Medellín",belene | medellín,2.800.000,74.0,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-loma-de-los-bernal-2-habitaciones-2-banos-1-garajes/12116-M5306338
