titulo,ubicacion,precio,area_m2,habitaciones,banos,parqueaderos,url
"Apartamento en Arriendo, Medellin, Medellín",In | Medellín,4.500.000,120.0,3,4,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-medellin-3-habitaciones-4-banos-1-garajes/11813-M6018002
"Casa en Arriendo, Santa Fe, Medellín",Santa Fe | Medellín,2.000.000,120.0,3,2,0,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-santa-fe-3-habitaciones-2-banos/17698-M6062834
"Oficina en Arriendo, Laureles, Medellín",Laureles,3.500.000,70.0,0,1,1,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-lorena-1-banos-1-garajes/17698-M5825127
"Apartamento en Arriendo, Poblado, Medellín",El Poblado,7.500.000,163.0,3,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-poblado-3-habitaciones-3-banos-2-garajes/19474-M5962398
"Apartamento en Arriendo, Medellin, Medellín",In | Medellín,3.400.000,85.0,3,2,0,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-medellin-3-habitaciones-2-banos/11813-M5965769
"Apartamento en Arriendo, CALASANZ PARTE ALTA, Medellín",Calasanz Parte Altae | Medellín,3.300.000,100.0,3,2,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-alcazares-3-habitaciones-2-banos-2-garajes/16115-M6060698
"Casa en Arriendo, Los Balsos, Medellín",Los Balsos,58.700.000,29.0,5,5,2,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-los-balsos-5-habitaciones-5-banos-2-garajes/2671-M5812213
"Casa en Arriendo, El Retiro, Medellín",El Retiro,16.000.000,361.0,4,5,2,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-na-4-habitaciones-5-banos-2-garajes/2671-M5812021
"Casa en Arriendo, ALTOS DEL POBLADO, Medellín",El Poblado,8.800.000,240.0,4,5,3,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-altos-del-poblado-4-habitaciones-5-banos-3-garajes/10842-M6017896
"Apartamento en Arriendo, El Tesoro, Medellín",El Tesoro,30.000.000,458.0,5,5,3,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-tesoro-5-habitaciones-5-banos-3-garajes/2671-M6014232
"Apartamento en Arriendo, EL POBLADO EL TESORO, Medellín",El Poblado,39.900.000,700.0,4,5,4,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.1-4-habitaciones-5-banos-4-garajes/17556-M5186602
"Apartamento en Arriendo, Los Balsos, Medellín",Los Balsos,4.600.000,110.0,3,2,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-3-habitaciones-2-banos-2-garajes/11224-M6070847
"Apartamento en Arriendo, Lalinde, Medellín",Lalinde,8.700.000,121.0,2,3,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-lalinde-2-habitaciones-3-banos-1-garajes/847-M6012249
"Apartamento en Arriendo, El Tesoro, Medellín",El Tesoro,7.500.000,4.0,3,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-tesoro-3-habitaciones-3-banos-2-garajes/847-M5838520
"Casa en Arriendo, Los Balsos, Medellín",Los Balsos,60.000.000,500.0,5,5,4,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-los-balsos-5-habitaciones-5-banos-4-garajes/16958-M4884657
"Apartamento en Arriendo, El Poblado, Medellín",El Poblado,9.500.000,170.0,4,4,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-poblado-4-habitaciones-4-banos-2-garajes/14059-M6043504
