titulo,ubicacion,precio,caracteristicas,area_m2,habitaciones,banos,parqueaderos,url,codigo,pagina,numero_en_pagina
"Apartamento en Arriendo, Belen Loma De Los Bernal, Medellín",Belen Loma De Los Bernal | Medellín,$2.600.000,"60 m²
2 hab.
2 bañ.
1 par.",60,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-belen-loma-de-los-bernal-2-habitaciones-2-banos-1-garajes/14059-M6015423,14059-M6015423,41,48
"Apartaestudio en Arriendo, Los Pinos, Medellín",Los Pinos | Nororiente | Medellín,$3.000.000,"47 m²
2 hab.
1 bañ.",47,2,1,,https://www.metrocuadrado.com/inmueble/arriendo-apartaestudio-medellin-los-pinos-2-habitaciones-1-banos/16120-M5810936,16120-M5810936,41,49
"Apartamento en Arriendo, La Frontera, Medellín",La Frontera | Medellín,$5.000.000,"110 m²
3 hab.
2 bañ.
1 par.",110,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-frontera-3-habitaciones-2-banos-1-garajes/98-M5841556,98-M5841556,41,50
"Apartamento en Arriendo, El Poblado, Medellín",El Poblado | Medellín,$3.300.000,"70 m²
3 hab.
2 bañ.
1 par.",70,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-poblado-3-habitaciones-2-banos-1-garajes/18597-M6053947,18597-M6053947,41,51
"Apartamento en Arriendo, La Pradera, Medellín",La Pradera | Noroccidente | Medellín,$1.800.000,"70 m²
2 hab.
1 bañ.",70,2,1,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-berlin-2-habitaciones-1-banos/14059-M5940688,14059-M5940688,41,52
"Oficina en Arriendo, Poblado, Medellín",Poblado | Medellín,$12.727.500,"138 m²
2 par.",138,,,2,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-poblado-2-garajes/14894-M5975164,14894-M5975164,41,53
"Apartamento en Arriendo, Simon Bolivar, Medellín",Simon Bolivar | Medellín,$1.750.000,"65 m²
2 hab.
1 bañ.",65,2,1,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-simon-bolivar-2-habitaciones-1-banos/17143-M6013510,17143-M6013510,42,1
"Apartamento en Arriendo, El Poblado, Medellín",El Poblado | Suroriente | Medellín,$4.500.000,"55 m²
1 hab.
5 bañ.",55,1,5,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-tesoro-1-habitaciones-5-banos/2895-M5325679,2895-M5325679,42,2
"Apartamento en Arriendo, El Poblado, Medellín",El Poblado | Medellín,$7.500.000,"147 m²
3 hab.
3 bañ.
2 par.",147,3,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-poblado-3-habitaciones-3-banos-2-garajes/19797-M6051932,19797-M6051932,42,3
"Apartamento en Arriendo, LAURELES, Medellín",LAURELES | Noroccidente | Medellín,$3.000.000,"60 m²
2 hab.
2 bañ.
1 par.",60,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-conquistadores-2-habitaciones-2-banos-1-garajes/12116-M4914821,12116-M4914821,42,4
"Apartamento en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$5.650.000,"85 m²
3 hab.
2 bañ.
1 par.",85,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-tesoro-3-habitaciones-2-banos-1-garajes/687-M5774338,687-M5774338,42,5
"Apartamento en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$4.700.000,"53 m²
1 hab.
2 bañ.
1 par.",53,1,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-alejandria-1-habitaciones-2-banos-1-garajes/687-M4965765,687-M4965765,42,6
"Oficina en Arriendo, BELEN, Medellín",BELEN | Suroccidente | Medellín,$12.000.000,"250 m²
4 bañ.
1 par.",250,,4,1,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-rosales-4-banos-1-garajes/12116-M4734241,12116-M4734241,42,7
"Apartamento en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$3.050.000,"50 m²
1 hab.
1 bañ.
1 par.",50,1,1,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-simesa-1-habitaciones-1-banos-1-garajes/687-M5463306,687-M5463306,42,8
"Apartamento en Arriendo, Laureles, Medellín",Laureles | Noroccidente | Medellín,$4.200.000,"115 m²
3 hab.
3 bañ.
2 par.",115,3,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-bolivariana-3-habitaciones-3-banos-2-garajes/19700-M6063884,19700-M6063884,42,9
"Apartamento en Arriendo, BELEN, Medellín",BELEN | Suroccidente | Medellín,$3.200.000,"76 m²
3 hab.
2 bañ.
1 par.",76,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-loma-de-los-bernal-3-habitaciones-2-banos-1-garajes/12116-M5105634,12116-M5105634,42,10
"Oficina en Arriendo, LAURELES, Medellín",LAURELES | Noroccidente | Medellín,$15.800.000,"230 m²
3 bañ.
2 par.",230,,3,2,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-los-conquistadores-3-banos-2-garajes/12116-M5722208,12116-M5722208,42,11
"Apartamento en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$9.500.000,"170 m²
3 hab.
4 bañ.
2 par.",170,3,4,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-tesoro-3-habitaciones-4-banos-2-garajes/687-M5547794,687-M5547794,42,12
